community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Oakland,"The median income in Oakland is $27,693, with a significant portion of the population earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies more favorable.","With a high percentage of households earning less than $25,000, discretionary spending is likely constrained. Policies that minimize additional financial burdens are preferred.","41.7% of households have no vehicle, and 19.9% use transit. Improving transit accessibility and affordability is crucial, as a significant portion of the community relies on public transportation.","Given the limited disposable income and high reliance on public transit, policies with lower transit fares and moderate sales taxes are prioritized. Reducing travel time is also important, but not at the expense of significantly higher costs. The community's high percentage of households without vehicles suggests that transit improvements will have a broad impact. Therefore, proposals with lower fares and moderate driver fees, which can improve transit services without excessive cost increases, are favored.","[10, 11, 19, 20, 13]",10,11,19,20,13
Fuller Park,"The majority of households in Fuller Park have an income of less than $25,000, indicating limited disposable income. This suggests that any increase in costs, whether through transit fares, sales taxes, or driving fees, could significantly impact residents' financial situations.","With 70% of households earning less than $25,000, discretionary spending is likely minimal. Residents may prioritize essential goods and services, making them sensitive to any policy that increases their cost of living.","A significant portion of the community relies on driving (49.3%) and transit (18.7%) for commuting. However, 58% of households do not own a vehicle, indicating a reliance on public transit. Improving transit accessibility and affordability is crucial for this community.","Given the low income levels and high reliance on public transit, policies that minimize costs while improving transit services are prioritized. A lower transit fare and driving fee, combined with a moderate sales tax, would be ideal to enhance transit services without overly burdening residents financially. The selected policies aim to balance improved transit times and costs, considering the community's limited disposable income and reliance on public transportation.","[11, 10, 13, 14, 19]",11,10,13,14,19
Grand Boulevard,"The median income in Grand Boulevard is $43,048, with a significant portion of the population earning less than $25,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a high percentage of households earning less than $25,000, discretionary spending is likely constrained. Policies that minimize additional costs, such as lower fares and taxes, would be beneficial.","Approximately 21.4% of residents use transit, and 49.3% drive alone. Improving transit times and maintaining affordability is crucial, as a significant portion of the population relies on public transportation.","Given the community's limited disposable income and reliance on transit, policies with lower fares and moderate taxes are prioritized. Reducing travel time for both transit and driving is also important. The selected policies aim to balance affordability with improved transit services, considering the community's economic constraints and transportation needs.","[10, 11, 19, 20, 13]",10,11,19,20,13
Kenwood,"Kenwood has a median income of $58,052 and a per capita income of $55,311. A significant portion of the population earns less than $25,000, indicating a need to consider affordability in transportation costs.","With 27.4% of households earning less than $25,000, affordability is crucial. The community may be sensitive to increases in transit fares and driver fees, as these could impact their ability to spend on other necessities.","33.1% of households do not own a vehicle, and 23.1% use transit, highlighting the importance of maintaining affordable and efficient public transportation options. The community also has a significant portion of residents working from home, which may reduce daily transportation needs.","Given the high percentage of residents without vehicles and those using transit, policies that improve transit times without significantly increasing costs are prioritized. Lower fares and moderate driver fees are preferred to balance affordability and service improvement. A lower sales tax is also favored to minimize the impact on discretionary spending. The selected policies aim to reduce travel times for both transit and driving, while keeping costs manageable for the community.","[11, 10, 19, 13, 14]",11,10,19,13,14
Washington Park,"The median income in Washington Park is $26,014, with a significant portion of the population (49.3%) earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $19,948, residents have limited discretionary spending. Policies that minimize additional financial burdens, such as lower fares and taxes, are preferable to maintain consumption of essential goods and services.","A significant portion of the community relies on transit (32.3%) and many households do not own a vehicle (42.8%). Therefore, policies that improve transit accessibility and reduce travel time are crucial for enhancing access to resources and services.","Given the community's low income levels and reliance on public transit, policies with lower fares and taxes are prioritized to minimize financial strain. Additionally, reducing transit travel time is important to improve accessibility. The selected policies balance these factors by offering lower fares and taxes while also considering the benefits of reduced travel times for both transit and driving.","[10, 11, 19, 20, 13]",10,11,19,20,13
Hyde Park,"Hyde Park has a diverse income distribution with a significant portion of the population earning less than $50,000 annually. However, there is also a substantial percentage earning over $100,000, indicating a mixed-income community.","Given the income distribution, discretionary spending varies widely. Lower-income households may be more sensitive to increases in transit fares and sales taxes, while higher-income households may have more flexibility.","Hyde Park has a high percentage of residents using transit (22.5%) and walking/biking (29.4%), with a significant portion of households (43.4%) not owning a vehicle. This suggests a strong reliance on public transit and non-motorized modes of transportation.","Considering the high reliance on public transit and non-motorized transportation, policies that improve transit service without significantly increasing costs are prioritized. Lower fares and moderate sales taxes are preferred to maintain affordability for lower-income residents. Driver fees are considered to reduce congestion and improve transit times, benefiting the large transit-using population. The selected policies aim to balance improved transit service with affordability, considering the community's income diversity and transportation habits.","[11, 10, 13, 14, 19]",11,10,13,14,19
Woodlawn,"The median income in Woodlawn is $29,969, with a significant portion of the population earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies more favorable.","With a high percentage of households earning below $25,000, discretionary spending is likely constrained. Policies that minimize additional financial burdens are preferred to maintain essential consumption.",A significant portion of the population relies on transit (24.3%) and a notable percentage has no vehicle (38.1%). Improving transit accessibility and affordability is crucial for this community.,"Given the limited disposable income and high reliance on public transit, policies with lower transit fares and moderate sales taxes are prioritized. A balance between improving transit services and minimizing financial strain is essential. Proposals with lower driving fees are also considered to encourage a shift from driving to transit, reducing congestion and emissions. The selected policies aim to enhance transit efficiency while keeping costs manageable for residents.","[10, 11, 19, 20, 13]",10,11,19,20,13
South Shore,"The median income in South Shore is $39,649, with a significant portion of the population earning less than $25,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With 33% of households earning less than $25,000, discretionary spending is likely constrained. Policies that minimize additional costs, such as lower fares and taxes, would be beneficial.","A high percentage of residents (32.8%) use transit, and 37.8% of households do not own a vehicle. Improving transit accessibility and affordability is crucial for this community.","Given the high reliance on public transit and limited disposable income, policies with lower transit fares and moderate taxes are prioritized. The goal is to enhance transit service without significantly increasing costs for residents. Lower driving fees are less critical due to the lower car ownership and high transit usage. Therefore, proposals with lower fares and moderate taxes, which also improve transit times, are preferred.","[10, 11, 19, 20, 13]",10,11,19,20,13
Chatham,"Chatham has a median income of $39,348 and a per capita income of $28,801. A significant portion of the population earns less than $50,000, indicating limited disposable income.","With 32.8% of households earning less than $25,000, discretionary spending is likely constrained. Any increase in transportation costs could significantly impact these households.","31.8% of households have no vehicle, and 27.3% of residents use transit. Improving transit accessibility and affordability is crucial for this community.","Given the high reliance on transit and limited disposable income, proposals with lower transit fares and moderate taxes are prioritized. Reducing travel time is also important, but not at the expense of significantly higher costs. Balancing affordability with improved transit service is key. Proposals with a $0.75 fare and moderate driver fees are preferred to encourage transit use and reduce congestion, while keeping costs manageable for low-income residents.","[10, 11, 19, 20, 13]",10,11,19,20,13
Avalon Park,"The median income in Avalon Park is $54,139, with a significant portion of households earning less than $50,000. This suggests that disposable income is limited for many residents, making cost-sensitive policies more favorable.","With a per capita income of $31,626, residents may prioritize essential spending over discretionary consumption. Policies that minimize additional financial burdens, such as lower fares and taxes, would be more appealing.","A significant portion of the community relies on driving (58.5%) and transit (24.1%) for commuting. Improving transit times and maintaining affordable fares are crucial for accessibility, especially for those without vehicles (23.6% of households).","Given the community's income distribution and reliance on both driving and transit, the ideal policies would balance affordability with improved transit services. Lower fares and moderate taxes are prioritized to minimize financial strain while enhancing transit accessibility. Driver fees are considered to reduce congestion and improve transit times, but they should not be too high to avoid excessive costs for drivers.","[10, 13, 19, 22, 11]",10,13,19,22,11
South Chicago,"The median income in South Chicago is $43,936, with a significant portion of the population earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $22,912, residents have limited discretionary spending. High transit fares or driver fees could significantly impact their ability to spend on other necessities.","23.7% of residents use transit, and 31.6% have no vehicle, indicating a reliance on public transportation. Policies that improve transit times and affordability are crucial for accessibility.","Given the community's limited disposable income and reliance on public transit, policies with lower fares and moderate taxes are prioritized. Reducing transit times is also important, but not at the expense of significantly higher costs. A balance between affordability and improved service is key. Policies with a $0.75 fare and moderate driver fees are preferred to encourage transit use and reduce congestion, while keeping costs manageable for residents.","[10, 11, 19, 20, 1]",10,11,19,20,1
Burnside,"The median income in Burnside is $46,711, with a significant portion of households earning less than $50,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $28,605, residents may prioritize essential spending over discretionary consumption. High transit fares or driver fees could significantly impact their budget.",Burnside has a high percentage of residents using transit (27.6%) and a significant portion without vehicles (38.7%). Improving transit accessibility and affordability is crucial for this community.,"Given the high reliance on transit and limited disposable income, policies with lower transit fares and moderate driver fees are prioritized. A lower sales tax is also preferred to minimize the impact on discretionary spending. The goal is to enhance transit accessibility while keeping costs manageable for residents. Policies that reduce travel time for both transit and driving are also considered to improve overall accessibility and efficiency.","[11, 10, 19, 13, 14]",11,10,19,13,14
Calumet Heights,"The median income in Calumet Heights is $68,436, with a per capita income of $39,867. A significant portion of the population earns less than $50,000, indicating a moderate level of disposable income.","With 20.6% of households earning less than $25,000, a substantial portion of the community may have limited discretionary spending. The community needs to balance transportation costs with other essential expenses.","52.3% of residents drive alone, while 19.5% use transit. Car ownership is relatively high, with 80.6% of households owning at least one vehicle. Accessibility to resources is moderately reliant on both driving and transit.","Given the moderate disposable income and the need to balance costs, proposals with lower fares and moderate taxes are preferred. Reducing travel time is also important to improve accessibility. Proposals with a higher driver fee can encourage transit use, reducing congestion and emissions. The community's reliance on both driving and transit suggests a need for balanced policies that do not overly burden either mode.","[10, 13, 19, 22, 25]",10,13,19,22,25
Roseland,"The median income in Roseland is $49,808, with a significant portion of households earning less than $50,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $24,754, residents have limited discretionary spending. High transit fares or driver fees could significantly impact their ability to spend on other necessities.","A significant portion of the population relies on driving (53.9%) and transit (20.1%) to commute. Improving transit times and maintaining affordable fares are crucial for accessibility, especially for the 25.9% of households without a vehicle.","Given the limited disposable income and reliance on both driving and transit, policies that reduce travel time and maintain or lower costs are prioritized. A lower sales tax is preferred to minimize the impact on discretionary spending. Proposals with moderate driver fees are considered to encourage a shift to transit, reducing congestion and emissions. The top-ranked proposals balance these factors by offering reduced travel times and maintaining affordability for both transit users and drivers.","[11, 14, 13, 10, 19]",11,14,13,10,19
Pullman,"The median income in Pullman is $54,755, with a significant portion of the population earning less than $50,000. This suggests that disposable income is limited for many residents, making cost-sensitive policies more favorable.","With a per capita income of $32,327, residents may prioritize essential spending over discretionary consumption. Policies that minimize additional financial burdens, such as lower fares and taxes, would be preferable.","A significant portion of the community relies on driving (64%) and transit (17.6%) for commuting. Improving transit times and maintaining affordability is crucial for accessibility, especially for those without vehicles (16.1%).","Given the community's income distribution and reliance on both driving and transit, policies that balance affordability with improved transit services are prioritized. Lower fares and moderate taxes are preferred to minimize financial strain while enhancing transit efficiency. The top-ranked proposals reflect a balance between reducing travel times and maintaining low costs, considering both transit users and drivers.","[10, 13, 19, 22, 11]",10,13,19,22,11
South Deering,"The median income in South Deering is $34,814, with a significant portion of the population earning less than $25,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a high percentage of households earning below $50,000, discretionary spending is likely constrained. Policies that minimize additional costs, such as lower fares and taxes, would be beneficial.","A significant portion of the community relies on driving (57.2%) and transit (23.7%). Improving transit times and maintaining affordable fares are crucial for accessibility, especially for those without vehicles (24% of households).","Given the community's limited disposable income and reliance on both driving and transit, the focus is on minimizing costs while improving transit efficiency. Lower fares and moderate taxes are prioritized to ensure affordability. Driver fees are considered to reduce congestion and improve transit times, benefiting both drivers and transit users. The selected policies balance cost, accessibility, and potential improvements in transit service.","[11, 10, 19, 13, 14]",11,10,19,13,14
East Side,"The median household income in East Side is $61,898, with a significant portion of households earning between $25,000 and $49,999. This suggests a moderate level of disposable income, with some households potentially sensitive to increases in transportation costs.","With a per capita income of $25,646, residents may have limited discretionary spending. A higher sales tax or increased transit fares could impact their ability to spend on other necessities or leisure activities.","The majority of residents (68.4%) drive alone, indicating a reliance on personal vehicles. Only 7.7% use transit, suggesting that improvements in transit could benefit a smaller portion of the community. The mean commute time is 36.4 minutes, which is relatively high, indicating potential benefits from reduced travel times.","Given the community's reliance on driving and moderate income levels, proposals that balance lower transit fares and moderate driver fees with minimal tax increases are preferred. Reducing travel times for both driving and transit is important, but the community's reliance on cars suggests that driver fees should not be too high. Therefore, proposals with lower fares and moderate driver fees, which also reduce travel times, are prioritized. A moderate sales tax is acceptable if it significantly improves transit services, as this could encourage more residents to switch to transit, reducing congestion and emissions.","[10, 13, 19, 22, 14]",10,13,19,22,14
West Pullman,"The median income in West Pullman is $46,861, with a significant portion of the population earning less than $50,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $24,916, residents may prioritize essential spending over discretionary consumption. High transit fares or driver fees could significantly impact their budget.","63.1% of residents drive alone, while 12% use transit. Improving transit times and affordability could benefit those without vehicles (23.4% of households) and those who rely on public transportation.","Given the community's income constraints and reliance on both driving and transit, policies that balance lower costs with improved transit times are prioritized. Lower fares and moderate driver fees can encourage transit use without overly burdening drivers. A moderate sales tax is acceptable if it significantly improves transit services, as it supports those without vehicles and can reduce congestion for drivers.","[11, 10, 19, 13, 14]",11,10,19,13,14
Riverdale,"Riverdale has a median income of $41,144 and a per capita income of $19,721. A significant portion of the population earns less than $25,000, indicating limited disposable income.","With a large percentage of households earning below $50,000, discretionary spending is likely constrained. Any increase in transportation costs could significantly impact their ability to spend on other necessities.","A majority of residents drive alone (67.9%), but a notable portion (12.9%) relies on transit. Improving transit times could benefit those without vehicles and reduce overall commute times.","Given the limited disposable income, policies with lower fares and taxes are preferred to minimize financial strain. However, improving transit times is also crucial for accessibility. Balancing these factors, the chosen policies aim to reduce costs while enhancing transit efficiency. Lower fares and moderate driver fees are prioritized to encourage transit use and reduce congestion, benefiting both drivers and transit users.","[10, 11, 19, 20, 13]",10,11,19,20,13
Hegewisch,"The median income in Hegewisch is $58,647, with a per capita income of $31,457. A significant portion of the population earns less than $25,000, indicating a need to consider affordability in transportation costs.","With 27.6% of households earning less than $25,000, there is limited discretionary income. Therefore, policies that minimize additional costs, such as lower fares and taxes, are preferable to ensure residents can maintain their current consumption levels.","65.2% of residents drive alone, while only 10.8% use transit. Improving transit times and affordability could encourage more transit use, reducing congestion and emissions. However, the community's high car ownership suggests that driving remains a critical mode of transport.","Given the community's income distribution and reliance on driving, policies that balance lower costs with improved transit times are prioritized. Lower fares and moderate driver fees can enhance transit appeal without significantly impacting disposable income. A moderate sales tax is acceptable if it leads to better transit services, as long as it doesn't overly burden low-income households. The selected policies aim to improve transit efficiency and affordability while considering the community's economic constraints and transportation habits.","[10, 13, 19, 22, 25]",10,13,19,22,25
Garfield Ridge,"Garfield Ridge has a relatively high median income of $90,374 and a per capita income of $37,983. A significant portion of households earn over $100,000, indicating a good level of disposable income.","With a high percentage of households earning over $100,000, residents likely have a moderate to high level of discretionary spending. However, a notable portion of the population earns less than $50,000, which suggests some sensitivity to increased costs.","The majority of residents drive alone (71.2%), with only 7.6% using transit. Car ownership is high, with 58.8% of households owning two or more vehicles. This suggests that accessibility is more car-dependent, and improvements in transit might not immediately benefit the majority.","Given the high car ownership and reliance on driving, policies that reduce driving time and costs are prioritized. However, improving transit is also important to provide alternatives and reduce congestion. A balance between low transit fares and moderate driver fees is ideal to encourage transit use without overly burdening drivers. A lower sales tax is preferred to maintain discretionary spending, especially for lower-income households. Therefore, proposals with moderate driver fees, lower transit fares, and lower sales taxes are prioritized.","[10, 11, 19, 20, 13]",10,11,19,20,13
Archer Heights,"The community has a significant portion of households earning less than $50,000, with 21.2% earning less than $25,000 and 25.1% earning between $25,000 and $49,999. This suggests a moderate to low disposable income level, making cost-sensitive policies more favorable.","Given the income distribution, a large portion of the community likely prioritizes essential spending over discretionary consumption. Therefore, policies that minimize additional financial burdens are preferred.","With 58.7% of residents driving alone and 13.1% using transit, both modes are important. However, the high car ownership and reliance on driving suggest that policies improving driving conditions and reducing costs are crucial, while also considering transit improvements for those who rely on it.","The decision prioritizes policies that balance cost savings with improved transit and driving conditions. Lower fares and moderate driver fees are preferred to encourage transit use without overly burdening drivers. A lower sales tax is favored to minimize the impact on disposable income. The selected policies aim to reduce travel times for both modes, considering the community's reliance on driving and the need for affordable transit options.","[10, 13, 19, 22, 11]",10,13,19,22,11
Brighton Park,"The median income in Brighton Park is $52,145, with a per capita income of $22,361. A significant portion of the population earns less than $50,000, indicating limited disposable income for many households.","With a large percentage of households earning below $50,000, discretionary spending is likely constrained. Any increase in transportation costs could significantly impact the ability to spend on other necessities.","58.8% of residents drive alone, while 15.1% use transit. Car ownership is relatively high, with 84.6% of households owning at least one vehicle. However, 15.4% of households have no vehicle, indicating a reliance on public transit for some.","Given the limited disposable income and the need to balance costs, proposals with lower fares and moderate taxes are preferred. Reducing transit times is also important to improve accessibility for those relying on public transit. Proposals with higher driver fees are considered to encourage a shift to transit, potentially reducing congestion and emissions. The selected proposals aim to balance affordability, improved transit service, and reduced travel times.","[10, 13, 19, 22, 11]",10,13,19,22,11
McKinley Park,"The median income in McKinley Park is $70,411, with a per capita income of $32,106. A significant portion of the population earns between $25,000 and $149,999, indicating a moderate level of disposable income.","With a diverse income distribution, a substantial portion of the community may be sensitive to increases in transit fares and driver fees, as these could impact their ability to spend on other necessities and discretionary items.","51.5% of residents drive alone, while 21.7% use transit. Car ownership is relatively high, with 87.8% of households owning at least one vehicle. This suggests that both driving and transit are important modes of transportation for the community.","Given the moderate disposable income and the reliance on both driving and transit, the community would benefit from policies that balance affordability with improved transit services. Lower fares and moderate driver fees could encourage transit use without significantly impacting disposable income. A moderate sales tax is acceptable if it leads to better transit services, as long as it doesn't overly burden the community's spending power. Therefore, proposals with lower fares, moderate driver fees, and a balanced sales tax are prioritized.","[10, 13, 19, 22, 25]",10,13,19,22,25
Bridgeport,"Bridgeport has a median income of $72,159 and a per capita income of $38,718. A significant portion of the population earns less than $50,000, which suggests that affordability is a key concern for many residents.","With a diverse income distribution, a notable portion of the community may be sensitive to changes in transportation costs, as these could impact their ability to spend on other necessities and discretionary items.","Bridgeport has a relatively high percentage of residents who drive alone (48.3%) and a significant portion who use transit (16%). The community also has a notable percentage of households without a vehicle (17.8%), indicating a reliance on public transit for some residents.","Given the income distribution and transportation mode preferences, the community would benefit from policies that balance affordability with improved transit services. Lower transit fares and moderate driver fees could encourage more transit use, reducing congestion and emissions. A moderate sales tax is acceptable if it significantly enhances transit services. The top-ranked proposals should aim to reduce travel times and costs for both drivers and transit users, while not overly burdening lower-income residents with high taxes or fees.","[11, 14, 13, 10, 19]",11,14,13,10,19
New City,"The median income in New City is $40,959, with a significant portion of the population earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $21,622, residents have limited discretionary spending. High transit fares or driver fees could significantly impact their ability to spend on other necessities.","A large portion of the community relies on driving (53.7%) and transit (17.9%). Improving transit times and maintaining affordable fares are crucial for accessibility, especially for those without vehicles (24.5%).","Given the community's limited disposable income and reliance on both driving and transit, policies that balance lower costs with improved transit times are prioritized. A lower sales tax is preferred to minimize the impact on discretionary spending. Proposals with moderate driver fees are considered to encourage a shift to transit, reducing congestion and emissions. The top-ranked proposals aim to improve transit times while keeping costs manageable for residents.","[10, 13, 19, 22, 11]",10,13,19,22,11
West Elsdon,"West Elsdon has a median household income of $64,441 and a per capita income of $27,703. A significant portion of the population earns between $25,000 and $74,999, indicating moderate disposable income levels.","With 40.5% of households earning less than $50,000, there is a need to balance transportation costs with other essential expenses. The community may be sensitive to increases in transit fares and taxes.","59.6% of residents drive alone, while 12.9% use transit. The community has a mean commute time of 36.3 minutes, indicating a reliance on both driving and transit. Improving transit times could benefit a significant portion of the population.","Given the moderate income levels and reliance on both driving and transit, the community would benefit from policies that improve transit times without significantly increasing costs. Lower fares and moderate taxes are preferred to maintain affordability. Driver fees can be used to encourage a shift to transit, reducing congestion and emissions. The selected policies aim to balance improved transit service with affordability.","[11, 14, 13, 10, 19]",11,14,13,10,19
Gage Park,"The median income in Gage Park is $50,112, with a significant portion of households earning less than $50,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $19,524, residents have limited discretionary spending. High transit fares or driver fees could significantly impact their ability to spend on other necessities.","59.6% of residents drive alone, while 17.9% use transit. A significant portion of the community relies on cars, but improving transit could benefit those without vehicles (20.5% of households).","Given the community's income constraints, lower fares and fees are prioritized to minimize financial burden. A moderate sales tax is acceptable if it significantly improves transit times, benefiting the 17.9% who use transit and potentially encouraging more to switch from driving. Reducing car travel time is also important, as a majority drive alone. Balancing these factors, proposals with lower fares and moderate fees that improve transit times and reduce car travel times are preferred.","[11, 14, 13, 10, 19]",11,14,13,10,19
Clearing,"The median household income in Clearing is $73,778, with a significant portion of households earning between $50,000 and $149,999. This suggests a moderate level of disposable income, with some capacity to absorb additional costs from taxes or fees, but with a need to be mindful of the impact on lower-income households.","With a per capita income of $33,089, residents have some discretionary spending power. However, a notable portion of the population earns less than $50,000, indicating that increases in transportation costs could impact their ability to spend on other necessities.","The majority of residents (74.1%) drive alone, indicating a high reliance on personal vehicles. Only 6.9% use transit, suggesting that improvements in transit could benefit a small but significant portion of the population. The mean commute time is 31.9 minutes, which is relatively high, indicating potential benefits from reduced travel times.","Given the high reliance on driving, policies that reduce car travel time and cost are prioritized. However, improving transit is also important for the minority who rely on it. Balancing lower fares and fees with moderate tax increases can enhance transit services without overly burdening residents. The top choices aim to reduce car travel time while keeping transit affordable and improving service quality. A moderate sales tax increase is acceptable if it significantly improves transit times and services, benefiting the community's overall accessibility.","[11, 14, 13, 10, 19]",11,14,13,10,19
West Lawn,"The median income in West Lawn is $69,647, with a per capita income of $25,786. A significant portion of the population earns between $25,000 and $99,999, indicating moderate disposable income levels.","With 36.9% of households earning less than $50,000, there is a need to balance transportation costs with other essential expenses. The community may be sensitive to increases in transit fares and taxes.","63.4% of residents drive alone, while 9.8% use transit. Car ownership is high, with 56.3% of households owning two or more vehicles. This suggests a reliance on driving, but also a need for efficient transit options for those who use it.","Given the community's moderate income levels and reliance on both driving and transit, the focus is on minimizing costs while improving transit efficiency. Lower fares and moderate driver fees can encourage transit use without significantly impacting disposable income. A balanced approach with moderate sales tax is preferred to support transit improvements without overly burdening residents. The selected proposals aim to reduce travel times and costs for both drivers and transit users, considering the community's income distribution and transportation habits.","[10, 13, 19, 22, 25]",10,13,19,22,25
Chicago Lawn,"The median income in Chicago Lawn is $43,293, with a significant portion of households earning less than $50,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $20,907, residents have limited discretionary spending. High transit fares or driver fees could significantly impact their ability to spend on other necessities.","A large portion of the community relies on driving (57.8%) and carpooling (20.6%), with only 14.9% using transit. Policies that improve transit times and reduce costs could encourage more transit use, but must balance with the community's reliance on driving.","Given the community's income constraints and reliance on both driving and transit, policies that reduce transit fares and driving times while maintaining a reasonable tax rate are prioritized. Lower fares and moderate driver fees can improve transit accessibility without overly burdening drivers. A moderate sales tax is acceptable if it significantly improves transit services, as long as it doesn't overly impact discretionary spending.","[10, 13, 19, 22, 11]",10,13,19,22,11
West Englewood,"West Englewood has a median income of $29,234 and a per capita income of $19,453, with a significant portion of the population earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies more favorable.","With 42.1% of households earning less than $25,000, discretionary spending is likely constrained. Policies that minimize additional financial burdens, such as lower fares and taxes, are preferable to maintain essential consumption levels.","25.9% of residents use transit, and 32.7% have no vehicle, highlighting the importance of affordable and efficient public transportation. Reducing transit times and costs can significantly enhance accessibility to jobs and services.","Given the community's low income levels and reliance on public transit, policies that reduce transit fares and improve service efficiency are prioritized. A balance between affordable transit fares and reasonable sales tax is crucial to support transit improvements without overburdening residents financially. Driver fees are considered to encourage a shift to public transit, reducing congestion and emissions, but must be balanced with the community's economic constraints.","[11, 10, 19, 13, 14]",11,10,19,13,14
Englewood,"Englewood has a low median income of $27,792 and a per capita income of $17,897. A significant portion of the population earns less than $25,000, indicating limited disposable income.","With a high percentage of households earning below $25,000, discretionary spending is likely constrained. Any increase in transportation costs could significantly impact the ability to spend on other necessities.","44.6% of households do not own a vehicle, and 25.2% of residents use transit. This indicates a high reliance on public transportation, making affordable and efficient transit options crucial for accessibility.","Given the low income levels and high reliance on public transit, policies with lower transit fares and moderate driver fees are preferred to maintain affordability and improve transit services. A lower sales tax is also favored to minimize the impact on discretionary spending. The goal is to balance improved transit services with affordability, considering the community's economic constraints and transportation needs.","[11, 10, 19, 13, 14]",11,10,19,13,14
Greater Grand Crossing,"The median income is $39,908, with a significant portion of the population earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies more favorable.","With a high percentage of households earning below $50,000, discretionary spending is likely constrained. Policies that minimize additional costs, such as lower fares and taxes, would be beneficial.",A significant portion of the community relies on transit (29.5%) and a notable percentage has no vehicle (36.5%). Improving transit accessibility and affordability is crucial for this community.,"Given the community's reliance on transit and limited disposable income, policies with lower fares and moderate taxes are prioritized. Reducing travel time is also important, but not at the expense of significantly higher costs. The community would benefit from policies that balance improved transit services with affordability. Therefore, proposals with lower fares and moderate driver fees, which can improve transit times without imposing high costs, are preferred.","[10, 11, 19, 20, 13]",10,11,19,20,13
Ashburn,"The median income in Ashburn is $78,060, with a per capita income of $28,910. A significant portion of the population earns between $50,000 and $149,999, indicating a moderate level of disposable income.","With a diverse income distribution, a portion of the community may be sensitive to increases in transit fares and driver fees. The community's spending on goods and services could be impacted by higher taxes and fees.","67.6% of residents drive alone, while 11.4% use transit. Car ownership is high, with 92.3% of households owning at least one vehicle. This suggests that while transit improvements are beneficial, car travel is predominant.","Given the high car ownership and predominant use of driving, policies that reduce driving time and costs are favorable. However, improving transit is also important for the 11.4% who rely on it. Balancing lower fares and moderate taxes with reduced driving times is key. Proposals with a $0.75 fare and moderate driver fees are prioritized to maintain affordability while improving transit times. A 1% tax is acceptable if it significantly improves transit times, as it aligns with the current tax rate and supports better services.","[11, 10, 19, 13, 14]",11,10,19,13,14
Auburn Gresham,"The median income in Auburn Gresham is $41,000, with a significant portion of the population earning less than $25,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $23,557, residents have limited discretionary spending. High transit fares or driver fees could significantly impact their ability to spend on other necessities.",Auburn Gresham has a high percentage of residents who drive alone (57.5%) and a notable portion using transit (21.1%). Improving transit times and maintaining affordability is crucial for accessibility.,"Given the community's limited disposable income and reliance on both driving and transit, policies that balance lower costs with improved transit times are prioritized. A lower sales tax is preferred to minimize the impact on discretionary spending. Proposals with moderate driver fees are considered to encourage a shift to transit, reducing congestion and emissions. The top-ranked proposals offer a combination of reduced travel times and affordable costs, aligning with the community's economic constraints and transportation needs.","[10, 13, 19, 22, 11]",10,13,19,22,11
Beverly,"Beverly has a high median income of $131,170 and a per capita income of $64,719, indicating a relatively high level of disposable income compared to other areas.","With a significant portion of households earning over $100,000, residents likely have more flexibility in their spending, allowing for discretionary consumption beyond basic needs.","62% of residents drive alone, and 17% use transit. Car ownership is high, with 43.6% owning two vehicles, suggesting good accessibility by car. However, transit usage is also notable, indicating a need for efficient public transportation.","Given the high income levels, Beverly residents can afford moderate increases in transit fares and driver fees if it results in better services. The community values both driving and transit, so policies that improve transit times without significantly increasing costs are preferred. A balance between tax, fare, and fee is crucial to maintain affordability while enhancing service quality. Proposals with moderate taxes and fees that significantly reduce travel times are prioritized to benefit both drivers and transit users.","[14, 13, 11, 10, 4]",14,13,11,10,4
